class,credits,displayDays,displayTime,location,occurrenceData,professor,professorRating,semester,semestersOffered,title
GCI 150-05,1,M,5:30pm - 6:20pm,Hashinger SC Chemistry Lab 439,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 1050, 'endTime': 1100}], 'Tu': [], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Ernesto Vasquez,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering I
GCI 150-06,1,Tu,12:00pm - 12:50pm,Hashinger SC MakerSpace Lb 427,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 720, 'endTime': 770}], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Amanda Frazier,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering I
GCI 150-07,1,W,11:00am - 11:50am,Hashinger SC Chemistry Lab 439,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [{'startTime': 660, 'endTime': 710}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Joelle Prate,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering I
GCI 150-08,1,W,1:00pm - 1:50pm,Hashinger SC MakerSpace Lb 427,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [{'startTime': 780, 'endTime': 830}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Joelle Prate,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering I
GCI 150-09,1,Th,10:00am - 10:50am,Hashinger SC MakerSpace Lb 427,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [{'startTime': 600, 'endTime': 650}], 'F': [], 'Sa': [], 'Su': []}}",Cassandra Maya,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering I
GCI 150-10,1,Th,12:00pm - 12:50pm,Hashinger SC Chemistry Lab 439,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [{'startTime': 720, 'endTime': 770}], 'F': [], 'Sa': [], 'Su': []}}",Gabriela Shirkey,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering I
GCI 150-11,1,Th,3:00pm - 3:50pm,Hashinger SC Chemistry Lab 439,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [{'startTime': 900, 'endTime': 950}], 'F': [], 'Sa': [], 'Su': []}}",Aracely Acevedo,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering I
GCI 150-12,1,F,1:00pm - 1:50pm,Hashinger SC Chemistry Lab 439,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [], 'F': [{'startTime': 780, 'endTime': 830}], 'Sa': [], 'Su': []}}",Ana Garcia,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering I
GCI 200-01,1,M,12:00pm - 12:50pm,Hashinger SC MakerSpace Lb 427,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 720, 'endTime': 770}], 'Tu': [], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Sayani Ghosh,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering II
GCI 250-01,1,M,11:00am - 11:50am,Hashinger SC MakerSpace Lb 427,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 660, 'endTime': 710}], 'Tu': [], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Amanda Frazier,,spring2026,"['Spring', 'Fall']",Grand Challenges in Science and Engineering III
